12/30/1998,PA-28-161,2208V,1,FCM FCM,1.2,,,1,,,0.3,,,,,,,,1.2,,,,
1/31/1999,PA-28-161,2208V,1,FCM FCM,0.8,,,1,,,,,,,,0.8,,,,,,,
2/6/1999,PA-28-161,2208V,1,FCM FCM,1.3,,,6,,,,,,,,1.3,,,,,,,
2/15/1999,PA-28-161,4337V,1,FCM FCM,1.5,,,1,,,,,,,,,,,1.5,,,,
2/17/1999,PA-28-161,4337V,1,FCM FCM,1.1,,,6,,,,,,,,,,,1.1,,,,
2/20/1999,PA-28-161,2240G,1,FCM Y29 FCM,1.7,1.7,,2,,,0.3,,,,,,,,1.7,,,,
3/4/1999,PA-28-161,2240G,1,FCM FCM,2.0,,,1,,,,,,,,,2.0,,,,,,Private Checkride
3/10/1999,PA-28-161,2240G,1,FCM FCM,0.9,,,1,,,0.7,,,,,,0.9,,0.9,,,,
3/11/1999,PA-28-161,2240G,1,FCM FCM,1.2,,,1,,,,,,,,,1.2,,,,,,
3/12/1999,PA-28-181,2228Z,1,FCM FCM,1.0,,,1,,,0.8,,,,,,0.8,,0.8,,,,
3/15/1999,PA-28-181,2228Z,1,FCM FCM,1.0,,,1,,,0.8,,,,,,1.0,,1.0,,,,
3/16/1999,PA-28-161,2240G,1,FCM FCM,1.0,,,1,,,,,,,,,1.0,,,,,,
3/17/1999,PA-28-161,2240G,1,FCM FCM,1.0,,,1,,,,,,,,,1.0,,,,,,
3/18/1999,DA-20,202TB,1,FCM FCM,1.3,,,1,,,1.3,,,,,,1.3,,1.3,,,,
3/22/1999,PA-28-181,2228Z,1,FCM FCM,0.8,,,1,,,0.6,,,,,,0.8,,0.8,,,,
3/24/1999,PA-28-181,2228Z,1,FCM FCM,0.9,,,1,,,0.7,,,,,,0.9,,0.9,,,,
3/26/1999,PA-28-181,8274H,1,FCM FCM,1.1,,,1,,,0.9,,,,,,1.1,,1.1,,,,
4/4/1999,PA-28-161,2240G,1,FCM FCM,1.4,,,1,,,,,,,,,1.4,,,,,,
4/9/1999,PA-28-181,2228Z,1,FCM FCM,0.8,,,1,,,0.6,,,,,,0.8,,0.8,,,,
4/13/1999,PA-28-181,8274H,1,FCM FCM,1.0,,,1,,,0.9,,,,,,1.0,,1.0,,,,
4/16/1999,PA-28-181,2228Z,1,FCM FCM,1.3,,,1,,,,,,,,,1.3,,1.3,,,,
4/19/1999,PA-28-181,2228Z,1,FCM FCM,1.2,,,3,,,,,,,,,1.2,,1.2,,,,
4/26/1999,PA-28-181,2228Z,1,FCM FCM,0.8,,,1,,,0.7,,,,,,0.8,,0.8,,,,
4/28/1999,PA-28-181,2228Z,1,FCM FCM,1.1,,,1,,,0.7,,,,,,1.1,,1.1,,,,
4/28/1999,PA-28-181,2228Z,1,FCM STP FCM,1.1,1.1,,3,,,,,,,,,1.1,,,,,,
4/30/1999,PA-28-161,8189T,1,FCM FCM,0.9,,,1,,,,,,,,,0.9,,,,,,
5/7/1999,PA-28-181,2228Z,1,FCM FCM,1.4,,,1,,,1.4,,,,,,1.4,,1.4,,,,
5/7/1999,PA-28-181,2228Z,1,FCM FCM,1.0,,,1,,0.8,,,,,,,1.0,,1.0,,,,
5/12/1999,PA-28-181,8274H,1,FCM STC FCM,1.6,1.6,,2,,1.4,,,1.1,,1.6,,1.6,,1.6,,,,
5/14/1999,PA-28-181,8274H,1,FCM FCM,1.6,,,1,,,1.3,,,,,,1.6,,1.6,,,,
